trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
423,False,"{'a': 0.6550786331118064, 'e': 0.014552390548416127}",35,24,22.762039464007504,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.6544238819088586, 'e': 0.014407591843112353}",35,26,20.077963936861067,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.6537697851298473, 'e': 0.014264233908999259}",20,13,12.604209507144281,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.6531163421206756, 'e': 0.014122302410163965}",20,0,29.005931345191936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
427,False,"{'a': 0.6524635522279005, 'e': 0.013981783153338298}",25,15,17.823187090877667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.651811414798732, 'e': 0.013842662086479504}",25,17,19.720803623749845,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.6511599291810325, 'e': 0.013704925297364948}",25,10,27.72941872731391,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.6505090947233165, 'e': 0.013568559012200937}",25,15,19.309761412573607,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.6498589107747496, 'e': 0.013433549594245305}",20,8,21.57082412900092,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.6492093766851474, 'e': 0.01329988354244377}",20,10,21.568961203388614,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.6485604918049761, 'e': 0.013167547490079754}",20,2,25.33251891892514,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.6479122554853506, 'e': 0.01303652820343774}",25,20,10.005236011397109,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.6472646670780347, 'e': 0.012906812580479864}",30,22,12.209604333404858,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.6466177259354396, 'e': 0.012778387649535764}",20,16,6.536952466873147,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.6459714314106245, 'e': 0.012651240568005309}",25,18,14.548345303764078,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.6453257828572946, 'e': 0.012525358621074388}",25,13,21.480044254837868,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.6446807796298013, 'e': 0.01240072922044341}",20,3,27.471270075127627,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.6440364210831414, 'e': 0.01227733990306844}",30,18,23.893134103808514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.6433927065729562, 'e': 0.012155178329914938}",30,16,24.864176394962684,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.6427496354555312, 'e': 0.012034232284723778}",20,7,21.395389920621653,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.6421072070877952, 'e': 0.011914489672789649}",25,11,25.76274047831832,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.6414654208273198, 'e': 0.011795938519751564}",20,10,17.65382864302994,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.6408242760323188, 'e': 0.011678566970395446}",25,15,13.158089076143256,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.6401837720616471, 'e': 0.01156236328746854}",25,15,20.645547106559306,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
